Vanaf;Tot;Werkelijk;Doelstelling;Prestatie;  ;Graaddagen;Per graaddag;
2019-01-01 00:00;2019-01-02 00:00;4,52500;7,06407;-36;;9,13;0,4956;
2019-01-02 00:00;2019-01-03 00:00;6,02400;8,73085;-31;;11,66;0,5166;
2019-01-03 00:00;2019-01-04 00:00;7,07700;9,74541;-27;;13,20;0,5361;
2019-01-04 00:00;2019-01-05 00:00;7,09300;8,94826;-21;;11,99;0,5916;
2019-01-05 00:00;2019-01-06 00:00;5,95800;7,57135;-21;;9,90;0,6018;
2019-01-06 00:00;2019-01-07 00:00;5,86900;8,22357;-29;;10,89;0,5389;
2019-01-07 00:00;2019-01-08 00:00;5,83500;7,78876;-25;;10,23;0,5704;
2019-01-08 00:00;2019-01-09 00:00;6,55600;7,49888;-13;;9,79;0,6697;
2019-01-09 00:00;2019-01-10 00:00;7,00600;9,09319;-23;;12,21;0,5738;
2019-01-10 00:00;2019-01-11 00:00;7,34500;10,47010;-30;;14,30;0,5136;
2019-01-11 00:00;2019-01-12 00:00;6,72900;7,71629;-13;;10,12;0,6649;
2019-01-12 00:00;2019-01-13 00:00;5,92200;7,13654;-17;;9,24;0,6409;
2019-01-13 00:00;2019-01-14 00:00;4,92000;6,19445;-21;;7,81;0,6300;
2019-01-14 00:00;2019-01-15 00:00;5,95700;8,94826;-33;;11,99;0,4968;
2019-01-15 00:00;2019-01-16 00:00;6,81900;8,00616;-15;;10,56;0,6457;
2019-01-16 00:00;2019-01-17 00:00;5,95700;8,22357;-28;;10,89;0,5470;
2019-01-17 00:00;2019-01-18 00:00;7,40300;10,54256;-30;;14,41;0,5137;
2019-01-18 00:00;2019-01-19 00:00;8,09300;12,93403;-37;;18,04;0,4486;
2019-01-19 00:00;2019-01-20 00:00;9,90800;13,65871;-27;;19,14;0,5177;
2019-01-20 00:00;2019-01-21 00:00;10,21600;14,52833;-30;;20,46;0,4993;
2019-01-21 00:00;2019-01-22 00:00;9,76900;14,02105;-30;;19,69;0,4961;
2019-01-22 00:00;2019-01-23 00:00;10,15700;13,87612;-27;;19,47;0,5217;
2019-01-23 00:00;2019-01-24 00:00;9,08400;13,36884;-32;;18,70;0,4858;
2019-01-24 00:00;2019-01-25 00:00;9,52100;14,09352;-32;;19,80;0,4809;
2019-01-25 00:00;2019-01-26 00:00;9,52600;12,06440;-21;;16,72;0,5697;
2019-01-26 00:00;2019-01-27 00:00;6,24500;7,42642;-16;;9,68;0,6451;
2019-01-27 00:00;2019-01-28 00:00;6,10700;8,44098;-28;;11,22;0,5443;
2019-01-28 00:00;2019-01-29 00:00;7,08000;9,81788;-28;;13,31;0,5319;
2019-01-29 00:00;2019-01-30 00:00;7,75100;11,48466;-33;;15,84;0,4893;
2019-01-30 00:00;2019-01-31 00:00;10,30200;12,13687;-15;;16,83;0,6121;
2019-01-31 00:00;2019-02-01 00:00;9,64800;13,44131;-28;;18,81;0,5129;
2019-02-01 00:00;2019-02-02 00:00;9,36700;12,06440;-22;;16,72;0,5602;
2019-02-02 00:00;2019-02-03 00:00;8,49600;11,48466;-26;;15,84;0,5364;
2019-02-03 00:00;2019-02-04 00:00;7,85600;11,33972;-31;;15,62;0,5029;
2019-02-04 00:00;2019-02-05 00:00;9,15000;11,12231;-18;;15,29;0,5984;
2019-02-05 00:00;2019-02-06 00:00;7,94500;9,74541;-18;;13,20;0,6019;
2019-02-06 00:00;2019-02-07 00:00;7,55800;8,94826;-16;;11,99;0,6304;
2019-02-07 00:00;2019-02-08 00:00;6,12400;6,99161;-12;;9,02;0,6789;
2019-02-08 00:00;2019-02-09 00:00;6,68400;6,84667;-2;;8,80;0,7595;
2019-02-09 00:00;2019-02-10 00:00;6,10400;6,33939;-4;;8,03;0,7601;
2019-02-10 00:00;2019-02-11 00:00;5,44600;8,00616;-32;;10,56;0,5157;
2019-02-11 00:00;2019-02-12 00:00;6,28400;8,94826;-30;;11,99;0,5241;
2019-02-12 00:00;2019-02-13 00:00;6,73900;8,80332;-23;;11,77;0,5726;
2019-02-13 00:00;2019-02-14 00:00;6,27600;8,44098;-26;;11,22;0,5594;
