Vanaf;Tot;Werkelijk;Doelstelling;Prestatie;  ;Graaddagen;Per graaddag;
2019-07-01 00:00;2019-07-01 08:00;0,42100;0,34973;20;;0,00;0,0000;
2019-07-01 08:00;2019-07-01 16:00;0,05400;0,34973;-85;;0,00;0,0000;
2019-07-01 16:00;2019-07-02 00:00;0,38700;0,34973;11;;0,00;0,0000;
2019-07-02 00:00;2019-07-02 08:00;0,57900;0,34973;66;;0,00;0,0000;
2019-07-02 08:00;2019-07-02 16:00;0,17200;0,34973;-51;;0,00;0,0000;
2019-07-02 16:00;2019-07-03 00:00;0,28700;0,34973;-18;;0,00;0,0000;
2019-07-03 00:00;2019-07-03 08:00;0,41800;0,52541;-20;;0,27;1,5675;
2019-07-03 08:00;2019-07-03 16:00;0,06300;0,52541;-88;;0,27;0,2363;
2019-07-03 16:00;2019-07-04 00:00;0,25100;0,52541;-52;;0,27;0,9413;
2019-07-04 00:00;2019-07-04 08:00;0,41200;0,34973;18;;0,00;0,0000;
2019-07-04 08:00;2019-07-04 16:00;0,28400;0,34973;-19;;0,00;0,0000;
2019-07-04 16:00;2019-07-05 00:00;0,35100;0,34973;0;;0,00;0,0000;
2019-07-05 00:00;2019-07-05 08:00;0,42400;0,34973;21;;0,00;0,0000;
2019-07-05 08:00;2019-07-05 16:00;0,05500;0,34973;-84;;0,00;0,0000;
2019-07-05 16:00;2019-07-06 00:00;0,30100;0,34973;-14;;0,00;0,0000;
2019-07-06 00:00;2019-07-06 08:00;0,05400;0,34973;-85;;0,00;0,0000;
2019-07-06 08:00;2019-07-06 16:00;0,56800;0,34973;62;;0,00;0,0000;
2019-07-06 16:00;2019-07-07 00:00;0,33000;0,34973;-6;;0,00;0,0000;
2019-07-07 00:00;2019-07-07 08:00;0,16900;0,70109;-76;;0,53;0,3169;
2019-07-07 08:00;2019-07-07 16:00;0,61900;0,70109;-12;;0,53;1,1606;
2019-07-07 16:00;2019-07-08 00:00;0,27400;0,70109;-61;;0,53;0,5138;
2019-07-08 00:00;2019-07-08 08:00;0,24800;0,73623;-66;;0,59;0,4227;
2019-07-08 08:00;2019-07-08 16:00;0,41900;0,73623;-43;;0,59;0,7142;
2019-07-08 16:00;2019-07-09 00:00;0,20000;0,73623;-73;;0,59;0,3409;
2019-07-09 00:00;2019-07-09 08:00;0,24800;0,57811;-57;;0,35;0,7154;
2019-07-09 08:00;2019-07-09 16:00;0,35000;0,57811;-39;;0,35;1,0096;
2019-07-09 16:00;2019-07-10 00:00;0,28500;0,57811;-51;;0,35;0,8221;
2019-07-10 00:00;2019-07-10 08:00;0,30300;0,57811;-48;;0,35;0,8740;
2019-07-10 08:00;2019-07-10 16:00;0,58500;0,57811;1;;0,35;1,6875;
2019-07-10 16:00;2019-07-11 00:00;0,29800;0,57811;-48;;0,35;0,8596;
2019-07-11 00:00;2019-07-11 08:00;0,33700;0,34973;-4;;0,00;0,0000;
2019-07-11 08:00;2019-07-11 16:00;0,11500;0,34973;-67;;0,00;0,0000;
2019-07-11 16:00;2019-07-12 00:00;0,34900;0,34973;-0;;0,00;0,0000;
2019-07-12 00:00;2019-07-12 08:00;0,39400;0,34973;13;;0,00;0,0000;
2019-07-12 08:00;2019-07-12 16:00;0,32400;0,34973;-7;;0,00;0,0000;
2019-07-12 16:00;2019-07-13 00:00;0,27800;0,34973;-21;;0,00;0,0000;
2019-07-13 00:00;2019-07-13 08:00;0,10100;0,34973;-71;;0,00;0,0000;
2019-07-13 08:00;2019-07-13 16:00;0,72600;0,34973;108;;0,00;0,0000;
2019-07-13 16:00;2019-07-14 00:00;0,24300;0,34973;-31;;0,00;0,0000;
2019-07-14 00:00;2019-07-14 08:00;0,26500;0,40243;-34;;0,08;3,3125;
2019-07-14 08:00;2019-07-14 16:00;0,38000;0,40243;-6;;0,08;4,7500;
2019-07-14 16:00;2019-07-15 00:00;0,72800;0,40243;81;;0,08;9,1000;
2019-07-15 00:00;2019-07-15 08:00;0,33700;0,43757;-23;;0,13;2,5275;
2019-07-15 08:00;2019-07-15 16:00;0,17800;0,43757;-59;;0,13;1,3350;
2019-07-15 16:00;2019-07-16 00:00;0,33100;0,43757;-24;;0,13;2,4825;
2019-07-16 00:00;2019-07-16 08:00;0,40300;0,40243;0;;0,08;5,0375;
2019-07-16 08:00;2019-07-16 16:00;0,35300;0,40243;-12;;0,08;4,4125;
