Vanaf;Tot;Verbruik laag tarief;Verbruik hoog tarief;Teruglevering laag tarief;Teruglevering hoog tarief;Totaal;Doelstelling;Prestatie;
2019-07-01 00:00;2019-07-01 08:00;3,14100;0,82800;0,00000;0,00000;3,96900;5,71038;-30;
2019-07-01 08:00;2019-07-01 16:00;0,00000;3,34700;0,00000;-1,24500;2,10200;5,71038;-63;
2019-07-01 16:00;2019-07-02 00:00;0,46000;6,14700;0,00000;-0,00100;6,60600;5,71038;16;
2019-07-02 00:00;2019-07-02 08:00;2,94800;0,42600;0,00000;0,00000;3,37400;5,71038;-41;
2019-07-02 08:00;2019-07-02 16:00;0,00000;1,73500;0,00000;-1,16700;0,56800;5,71038;-90;
2019-07-02 16:00;2019-07-03 00:00;0,65700;6,02700;0,00000;-0,02800;6,65600;5,71038;17;
2019-07-03 00:00;2019-07-03 08:00;2,72700;1,46100;0,00000;0,00000;4,18800;5,71038;-27;
2019-07-03 08:00;2019-07-03 16:00;0,00000;6,65100;0,00000;-0,04200;6,60900;5,71038;16;
2019-07-03 16:00;2019-07-04 00:00;0,66800;7,25800;0,00000;0,00000;7,92600;5,71038;39;
2019-07-04 00:00;2019-07-04 08:00;2,78200;0,87900;0,00000;0,00000;3,66100;5,71038;-36;
2019-07-04 08:00;2019-07-04 16:00;0,00000;2,06000;0,00000;-1,43800;0,62200;5,71038;-89;
2019-07-04 16:00;2019-07-05 00:00;0,68300;4,55600;0,00000;0,00000;5,23900;5,71038;-8;
2019-07-05 00:00;2019-07-05 08:00;2,91700;0,85600;0,00000;0,00000;3,77300;5,71038;-34;
2019-07-05 08:00;2019-07-05 16:00;0,00000;3,36100;0,00000;-0,12300;3,23800;5,71038;-43;
2019-07-05 16:00;2019-07-06 00:00;0,64900;6,19200;0,00000;0,00000;6,84100;5,71038;20;
2019-07-06 00:00;2019-07-06 08:00;3,19700;0,00000;0,00000;0,00000;3,19700;5,71038;-44;
2019-07-06 08:00;2019-07-06 16:00;7,12700;0,00000;-0,05900;0,00000;7,06800;5,71038;24;
2019-07-06 16:00;2019-07-07 00:00;7,67200;0,00000;0,00000;0,00000;7,67200;5,71038;34;
2019-07-07 00:00;2019-07-07 08:00;3,23400;0,00000;0,00000;0,00000;3,23400;5,71038;-43;
2019-07-07 08:00;2019-07-07 16:00;5,72400;0,00000;-0,13600;0,00000;5,58800;5,71038;-2;
2019-07-07 16:00;2019-07-08 00:00;9,83800;0,00000;0,00000;0,00000;9,83800;5,71038;72;
2019-07-08 00:00;2019-07-08 08:00;2,73300;0,30500;0,00000;0,00000;3,03800;5,71038;-47;
2019-07-08 08:00;2019-07-08 16:00;0,00000;4,41500;0,00000;-0,14300;4,27200;5,71038;-25;
2019-07-08 16:00;2019-07-09 00:00;0,66200;5,15100;0,00000;0,00000;5,81300;5,71038;2;
2019-07-09 00:00;2019-07-09 08:00;3,45600;0,43600;0,00000;0,00000;3,89200;5,71038;-32;
2019-07-09 08:00;2019-07-09 16:00;0,00000;3,10600;0,00000;-0,48600;2,62000;5,71038;-54;
2019-07-09 16:00;2019-07-10 00:00;0,67900;3,69400;0,00000;-0,04500;4,32800;5,71038;-24;
2019-07-10 00:00;2019-07-10 08:00;2,87100;0,70000;0,00000;0,00000;3,57100;5,71038;-37;
2019-07-10 08:00;2019-07-10 16:00;0,00000;6,75300;0,00000;-0,00100;6,75200;5,71038;18;
2019-07-10 16:00;2019-07-11 00:00;0,54900;7,17100;0,00000;0,00000;7,72000;5,71038;35;
2019-07-11 00:00;2019-07-11 08:00;2,62900;1,48700;0,00000;0,00000;4,11600;5,71038;-28;
2019-07-11 08:00;2019-07-11 16:00;0,00000;2,50500;0,00000;-0,11700;2,38800;5,71038;-58;
2019-07-11 16:00;2019-07-12 00:00;0,63500;6,18300;0,00000;-0,01600;6,80200;5,71038;19;
2019-07-12 00:00;2019-07-12 08:00;2,83300;0,75200;0,00000;0,00000;3,58500;5,71038;-37;
2019-07-12 08:00;2019-07-12 16:00;0,00000;6,22100;0,00000;-0,00900;6,21200;5,71038;9;
2019-07-12 16:00;2019-07-13 00:00;0,90200;5,57400;0,00000;0,00000;6,47600;5,71038;13;
2019-07-13 00:00;2019-07-13 08:00;3,48100;0,00000;0,00000;0,00000;3,48100;5,71038;-39;
2019-07-13 08:00;2019-07-13 16:00;8,45300;0,00000;-0,03400;0,00000;8,41900;5,71038;47;
2019-07-13 16:00;2019-07-14 00:00;6,97800;0,00000;0,00000;0,00000;6,97800;5,71038;22;
2019-07-14 00:00;2019-07-14 08:00;3,29000;0,00000;0,00000;0,00000;3,29000;5,71038;-42;
2019-07-14 08:00;2019-07-14 16:00;4,46000;0,00000;-0,22200;0,00000;4,23800;5,71038;-26;
2019-07-14 16:00;2019-07-15 00:00;5,59100;0,00000;-0,07000;0,00000;5,52100;5,71038;-3;
2019-07-15 00:00;2019-07-15 08:00;3,83500;0,90200;0,00000;0,00000;4,73700;5,71038;-17;
2019-07-15 08:00;2019-07-15 16:00;0,00000;4,41200;0,00000;-0,00200;4,41000;5,71038;-23;
2019-07-15 16:00;2019-07-16 00:00;0,72000;6,42900;0,00000;-0,00100;7,14800;5,71038;25;
2019-07-16 00:00;2019-07-16 08:00;4,77400;0,39000;0,00000;0,00000;5,16400;5,71038;-10;
2019-07-16 08:00;2019-07-16 16:00;0,00000;4,17900;0,00000;0,00000;4,17900;5,71038;-27;
2019-07-16 16:00;2019-07-17 00:00;0,58600;5,74000;0,00000;0,00000;6,32600;5,71038;11;
2019-07-17 00:00;2019-07-17 08:00;2,79100;0,95700;0,00000;0,00000;3,74800;5,71038;-34;
2019-07-17 08:00;2019-07-17 16:00;0,00000;3,09100;0,00000;-0,21800;2,87300;5,71038;-50;
2019-07-17 16:00;2019-07-18 00:00;0,55900;7,91000;0,00000;0,00000;8,46900;5,71038;48;
2019-07-18 00:00;2019-07-18 08:00;3,35700;0,97800;0,00000;0,00000;4,33500;5,71038;-24;
2019-07-18 08:00;2019-07-18 16:00;0,00000;2,31100;0,00000;-0,35500;1,95600;5,71038;-66;
2019-07-18 16:00;2019-07-19 00:00;0,57100;5,41200;0,00000;0,00000;5,98300;5,71038;5;
2019-07-19 00:00;2019-07-19 08:00;2,73700;1,80300;0,00000;0,00000;4,54000;5,71038;-20;
2019-07-19 08:00;2019-07-19 16:00;0,00000;4,65200;0,00000;-0,10000;4,55200;5,71038;-20;
2019-07-19 16:00;2019-07-20 00:00;0,92700;5,55600;0,00000;-0,00300;6,48000;5,71038;13;
2019-07-20 00:00;2019-07-20 08:00;3,21900;0,00000;0,00000;0,00000;3,21900;5,71038;-44;
